"subj","vign","condition","cause","knowledge","norm"
"R_3FLmunkf2Hht6TF",10,"RKB",7,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",10,"RKB",7,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",10,"RKB",6,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",10,"RKB",5,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",10,"RKB",7,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",11,"RKB",4,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",11,"RKB",7,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",11,"RKB",6,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",11,"RKB",7,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",11,"RKB",4,"Knowledge","Rationality"
"R_3OkT4YxYDtONDSk",11,"RKB",6,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",11,"RKB",6,"Knowledge","Rationality"
"R_3L1Q56xXaXVyMIC",11,"RKB",4,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",11,"RKB",7,"Knowledge","Rationality"
"R_2uPS3EAvMPxKfXl",11,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",11,"RKB",3,"Knowledge","Rationality"
"R_1PTyJyKQcEUiuuQ",11,"RKB",6,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",11,"RKB",6,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",11,"RKB",5,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",11,"RKB",5,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",11,"RKB",5,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",11,"RKB",4,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",11,"RKB",7,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",11,"RKB",4,"Knowledge","Rationality"
"R_1rOn0eiXQgg0Bto",11,"RKB",7,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",11,"RKB",7,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",11,"RKB",7,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",11,"RKB",6,"Knowledge","Rationality"
"R_3lrWn7KbZc6TkYf",11,"RKB",5,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",11,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",11,"RKB",3,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",12,"RKB",4,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",12,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",12,"RKB",5,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",12,"RKB",5,"Knowledge","Rationality"
"R_1ovWWgYf1uliRGE",12,"RKB",7,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",12,"RKB",6,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",12,"RKB",6,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",12,"RKB",4,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",12,"RKB",6,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",12,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",12,"RKB",5,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",12,"RKB",7,"Knowledge","Rationality"
"R_1F3wgkNCepYzGxO",12,"RKB",5,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",12,"RKB",4,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",12,"RKB",4,"Knowledge","Rationality"
"R_3rSx4gMQuyykxRV",12,"RKB",4,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",12,"RKB",6,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",12,"RKB",3,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",12,"RKB",4,"Knowledge","Rationality"
"R_1rcce6YMkDl2Tqd",12,"RKB",6,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",12,"RKB",6,"Knowledge","Rationality"
"R_u2m3EaePEvEE75f",12,"RKB",6,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",12,"RKB",7,"Knowledge","Rationality"
"R_DNasEER9uGsFcfT",12,"RKB",4,"Knowledge","Rationality"
"R_1gNKGnEEzWH2iAi",12,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",12,"RKB",6,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",13,"RKB",4,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",13,"RKB",6,"Knowledge","Rationality"
"R_1hG9owKKMQroBBf",13,"RKB",5,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",13,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",13,"RKB",4,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",13,"RKB",7,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",13,"RKB",5,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",13,"RKB",4,"Knowledge","Rationality"
"R_3hfQk0FdbI5ZquZ",13,"RKB",6,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",13,"RKB",2,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",13,"RKB",6,"Knowledge","Rationality"
"R_3pcjNaakc9DEkuH",13,"RKB",6,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",13,"RKB",4,"Knowledge","Rationality"
"R_1F3wgkNCepYzGxO",13,"RKB",4,"Knowledge","Rationality"
"R_3rSx4gMQuyykxRV",13,"RKB",5,"Knowledge","Rationality"
"R_bmzXOsLePOIJIbf",13,"RKB",2,"Knowledge","Rationality"
"R_2ypyIkDBAjMyH3M",13,"RKB",6,"Knowledge","Rationality"
"R_1rOn0eiXQgg0Bto",13,"RKB",5,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",13,"RKB",7,"Knowledge","Rationality"
"R_3FLmunkf2Hht6TF",13,"RKB",4,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",13,"RKB",7,"Knowledge","Rationality"
"R_b1rH03pHa9MJNJv",13,"RKB",7,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",13,"RKB",7,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",13,"RKB",6,"Knowledge","Rationality"
"R_2e9CF7ZPfDFASCc",13,"RKB",6,"Knowledge","Rationality"
"R_xu9UP0GFBjQzi1P",14,"RKB",5,"Knowledge","Rationality"
"R_2tiogsuxGKKbNOv",14,"RKB",5,"Knowledge","Rationality"
"R_1hG9owKKMQroBBf",14,"RKB",5,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",14,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",14,"RKB",4,"Knowledge","Rationality"
"R_D0215TIQ3dRBXNL",14,"RKB",6,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",14,"RKB",4,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",14,"RKB",5,"Knowledge","Rationality"
"R_2S6pPEn187Q5NtY",14,"RKB",6,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",14,"RKB",2,"Knowledge","Rationality"
"R_2uPS3EAvMPxKfXl",14,"RKB",3,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",14,"RKB",4,"Knowledge","Rationality"
"R_2fTlSKmHwWxCyvn",14,"RKB",1,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",14,"RKB",5,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",14,"RKB",1,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",14,"RKB",6,"Knowledge","Rationality"
"R_bmzXOsLePOIJIbf",14,"RKB",6,"Knowledge","Rationality"
"R_2rZ10M50CWZ1eoq",14,"RKB",5,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",14,"RKB",3,"Knowledge","Rationality"
"R_1rOn0eiXQgg0Bto",14,"RKB",1,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",14,"RKB",6,"Knowledge","Rationality"
