"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_896Nv5RUgGc6R7e","7","7","7","65.445","Russia","bad","Ignorance"
"R_bKHHmYtDafOkyYQ","6","6","7","65.826","Russia","bad","Ignorance"
"R_a9GSRgWi9Tvpclm","6","4","6","50.015","Russia","bad","Ignorance"
"R_bvnWO7S9tZppLlG","7","7","7","295.694","Russia","bad","Ignorance"
"R_5oq3DLWUzBQ3N7C","4","7","4","87.39","Russia","bad","Ignorance"
"R_4PHcgnmiGVuBylK","4","5","4","60.412","Russia","bad","Ignorance"
"R_aWcSWisp6RnPzBG","6","7","6","167.94","Russia","bad","Ignorance"
"R_1I8UypWMMwllxbe","5","5","5","52.45","Russia","bad","Ignorance"
"R_1ZafFRndtoBGVhy","5","5","6","45.07","Russia","bad","Ignorance"
"R_bEMwMvjY3Ag7pD6","7","4","3","49.492","Russia","bad","Ignorance"
"R_etIq277AzgfYtne","5","6","3","60.009","Russia","bad","Ignorance"
"R_5gyNRgSgwbD4G1e","5","5","5","49.157","Russia","bad","Ignorance"
"R_abD9DuiQI6pTPRG","5","5","2","69.673","Russia","bad","Ignorance"
"R_enicQ28piFuifqI","4","4","4","63.734","Construction","bad","Ignorance"
"R_3BN9jUXvnI2vqvi","7","7","7","53.396","Construction","bad","Ignorance"
"R_9BwE28g5A9gjJL6","2","6","1","60.195","Construction","bad","Ignorance"
"R_5ARyiwm8bp2BeNS","6","6","7","18.353","Construction","bad","Ignorance"
"R_aWBRk5sRMvS7gVe","1","7","1","68.764","Construction","bad","Ignorance"
"R_efkUI4afpyqIms4","5","6","6","8.078","Construction","bad","Ignorance"
"R_a5W257IcwPwwvUU","7","7","7","62.736","Construction","bad","Ignorance"
"R_9tyc0MBjeUsUwCM","5","6","6","69.733","Construction","bad","Ignorance"
"R_eQZKfubcodf1GF6","4","7","6","66.681","Construction","bad","Ignorance"
"R_896Nv5RUgGc6R7e","5","5","4","113.854","Construction","bad","Ignorance"
"R_bKHHmYtDafOkyYQ","1","2","1","65.8","Construction","bad","Ignorance"
"R_a9GSRgWi9Tvpclm","3","4","3","58.624","Construction","bad","Ignorance"
"R_bvnWO7S9tZppLlG","4","7","7","74.914","Construction","bad","Ignorance"
"R_5oq3DLWUzBQ3N7C","1","7","1","118.94","Construction","bad","Ignorance"
"R_4PHcgnmiGVuBylK","5","7","5","40.416","Construction","bad","Ignorance"
"R_aWcSWisp6RnPzBG","7","7","7","94.805","Construction","bad","Ignorance"
"R_1I8UypWMMwllxbe","4","5","3","51.231","Construction","bad","Ignorance"
"R_1ZafFRndtoBGVhy","3","5","4","29.046","Construction","bad","Ignorance"
"R_bEMwMvjY3Ag7pD6","3","4","2","75.451","Construction","bad","Ignorance"
"R_etIq277AzgfYtne","3","7","2","49.953","Construction","bad","Ignorance"
"R_5gyNRgSgwbD4G1e","3","4","2","83.883","Construction","bad","Ignorance"
"R_abD9DuiQI6pTPRG","2","4","2","108.031","Construction","bad","Ignorance"
"R_9ElqhBR5fhpLUEs","5","6","5","3.867","Farmer","bad","Object"
"R_9mL01GGPWL03zX6","3","3","3","33.31","Farmer","bad","Object"
"R_e5kC9k0oKzVnOxC","4","4","4","91.278","Farmer","bad","Object"
"R_38ZtgEgGi6doFec","7","7","7","57.052","Farmer","bad","Object"
"R_bOPRQKzcoQGnZqY","4","4","3","84.266","Farmer","bad","Object"
"R_etdAUKrwGrWVXkE","4","4","6","47.403","Farmer","bad","Object"
"R_6Wiej8n6g0Sz628","6","6","6","30.643","Farmer","bad","Object"
"R_eVPtxeOBY1AIBta","7","7","7","35.816","Farmer","bad","Object"
"R_bfm9HpYP9AAiCm8","4","4","5","83.6","Farmer","bad","Object"
"R_1ADKKaBFIWVwYFS","5","4","5","140.524","Farmer","bad","Object"
"R_4GU38GU4iZ8VPuY","6","6","6","75.363","Farmer","bad","Object"
"R_e4jV9zodiwECgXa","5","7","2","64.341","Farmer","bad","Object"
"R_cUTO2Imdsv58fFa","7","7","7","37.694","Farmer","bad","Object"
"R_eEUH0Kio4l4KXs0","4","7","2","175.84","Farmer","bad","Object"
"R_3jSqilGL3FipwVu","1","2","1","52.007","Farmer","bad","Object"
"R_e3xGwUqDSPmAt2k","5","7","5","78.891","Farmer","bad","Object"
"R_835OmfsuznARoBm","5","7","4","45.172","Farmer","bad","Object"
"R_3TXPR3LMM6mMNFi","6","7","6","113.136","Farmer","bad","Object"
"R_eCCHaO6IoNoXqcc","3","3","4","37.433","Farmer","bad","Object"
"R_298IoVHEnpjodHS","6","1","6","54.989","Farmer","bad","Object"
"R_bgczkyfo290cpiA","5","2","5","85.291","Farmer","bad","Object"
"R_8prpNraQI1m9kQ4","6","6","6","38.06","Farmer","bad","Object"
"R_0Aiww6LdWzdeqXO","6","6","7","35.713","Farmer","bad","Object"
"R_9nOrn0b742iWhBq","5","6","4","54.547","Farmer","bad","Object"
"R_1XoBstDU3Womplq","4","6","5","51.161","Farmer","bad","Object"
"R_9ElqhBR5fhpLUEs","4","3","5","4.384","Russia","bad","Object"
"R_9mL01GGPWL03zX6","3","5","3","26.577","Russia","bad","Object"
"R_e5kC9k0oKzVnOxC","7","6","7","105.816","Russia","bad","Object"
"R_38ZtgEgGi6doFec","4","4","5","51.654","Russia","bad","Object"
"R_bOPRQKzcoQGnZqY","2","6","3","54.937","Russia","bad","Object"
"R_etdAUKrwGrWVXkE","6","6","6","69","Russia","bad","Object"
"R_6Wiej8n6g0Sz628","2","2","1","32.187","Russia","bad","Object"
"R_eVPtxeOBY1AIBta","7","7","7","39.629","Russia","bad","Object"
"R_bfm9HpYP9AAiCm8","4","4","4","35.824","Russia","bad","Object"
"R_1ADKKaBFIWVwYFS","6","5","6","54.804","Russia","bad","Object"
"R_4GU38GU4iZ8VPuY","4","6","2","340.658","Russia","bad","Object"
"R_e4jV9zodiwECgXa","5","7","3","36.862","Russia","bad","Object"
"R_cUTO2Imdsv58fFa","7","7","7","30.005","Russia","bad","Object"
"R_eEUH0Kio4l4KXs0","6","7","4","150.875","Russia","bad","Object"
